lon,lat,kg_class,bio5,bio14,elevation,presence
125.17794595014186,6.904499049961373,1.0,30.5,94.0,566.06885,0
121.49462735014015,16.27946154996573,1.0,27.9,72.0,996.0225,0
125.12794615014184,7.237831049961528,1.0,31.5,101.0,589.41266,0
125.59461095014206,9.646154749962648,1.0,31.7,142.0,60.732548,0
117.3029774501382,8.321160049962032,2.0,31.7,43.0,14.414504,0
121.08629565013996,17.05445844996609,12.0,22.7,71.0,1907.4701,0
125.21127915014188,12.287810849963876,1.0,31.5,165.0,46.118282,0
121.67795995014023,16.604460249965882,1.0,35.0,63.0,72.95627,0
121.26962825014004,16.36279454996577,1.0,28.5,50.0,967.29156,0
125.51961125014202,6.504500649961187,1.0,32.9,103.0,27.643057,0
123.02795455014086,13.69613854996453,1.0,33.2,71.0,10.227481,0
126.43627425014245,7.604496249961699,1.0,28.9,139.0,615.3129,0
120.5279645501397,17.88778844996648,2.0,32.6,12.0,185.00343,0
121.27796155014005,15.171132649965216,1.0,28.2,44.0,832.30023,0
124.46961545014153,7.996161349961881,1.0,30.0,108.0,1039.1171,0
124.8362806501417,8.196160549961974,1.0,27.8,130.0,1282.7274,0
125.33627865014194,8.171160649961962,1.0,29.4,162.0,697.3393,0
122.01129195014039,17.20445784996616,1.0,31.6,65.0,353.13504,0
123.45295285014106,10.637817449963109,1.0,33.4,56.0,74.07031,0
121.94462555014036,17.09612494996611,1.0,34.8,47.0,55.405155,0
124.23628305014142,7.896161749961834,1.0,31.5,103.0,701.0,0
120.71963045013979,13.962804149964654,3.0,34.4,9.0,23.154018,0
121.86129255014032,16.912792349966026,1.0,34.8,53.0,61.218723,0
119.36130255013916,11.012815949963283,2.0,32.0,12.0,31.987337,0
123.66128535014116,12.562809749964003,1.0,32.4,90.0,168.86296,0
120.61129755013974,13.421139649964402,2.0,27.4,26.0,1210.9713,0
126.02794255014226,7.329497349961571,1.0,26.8,184.0,1210.6647,0
125.39461175014196,7.662829349961726,1.0,30.1,148.0,700.845,0
121.10296225013997,14.587801649964945,2.0,34.8,13.0,9.389991,0
121.95295885014036,16.462794149965816,1.0,29.8,123.0,661.6723,0
125.9196096501422,8.946157549962322,1.0,31.4,186.0,177.14285,0
125.61127755014206,8.571159049962148,1.0,31.8,195.0,97.48708,0
121.97795875014037,13.946137549964646,1.0,32.2,60.0,92.1305,0
121.3946277501401,18.896117749966947,1.0,32.1,64.0,98.17448,0
121.21962845014002,14.854467249965069,1.0,27.6,37.0,990.60693,0
120.97796275013991,18.47111944996675,1.0,29.3,117.0,568.62604,0
126.10294225014229,6.996165349961416,1.0,31.8,124.0,113.66121,0
125.6779439501421,9.37115584996252,1.0,28.9,186.0,695.03687,0
121.41962765014011,13.021141249964217,2.0,33.3,40.0,21.281673,0
117.03631185013808,8.029494549961896,1.0,31.8,59.0,42.828266,0
124.8446139501417,7.237831049961528,1.0,33.7,106.0,27.912941,0
121.36962785014009,12.287810849963876,2.0,32.6,18.0,18.034698,0
125.8946097501422,8.996157349962346,1.0,31.2,182.0,214.4878,0
122.31962405014053,11.54614714996353,1.0,32.5,77.0,80.57469,0
124.26961625014144,6.85449924996135,1.0,31.5,103.0,625.18036,0
121.09462895013996,13.054474449964232,2.0,27.7,40.0,962.39575,0
120.25296565013957,14.87946714996508,2.0,34.3,4.0,48.01552,0
123.51961925014109,13.212807149964306,1.0,32.4,119.0,96.17446,0
125.28627885014191,7.379497149961594,1.0,30.6,114.0,581.52325,0
117.56964305013832,8.846157949962276,2.0,30.5,27.0,338.06137,0
124.76128095014167,7.812828749961795,1.0,31.6,103.0,787.00824,0
119.53630185013924,11.321148049963426,2.0,32.6,11.0,5.941898,0
124.78628085014168,7.904495049961838,1.0,27.0,135.0,1477.3134,0
125.09461295014182,7.92949494996185,1.0,32.9,115.0,314.32785,0
121.56129375014018,17.39612374996625,2.0,33.5,34.0,252.20297,0
121.01129595013992,12.521143249963984,2.0,34.3,13.0,36.0821,0
126.53627385014249,7.587829649961691,1.0,31.5,118.0,82.81454,0
121.71962645014025,17.021125249966076,2.0,34.8,42.0,45.906628,0
126.28627485014238,8.021161249961892,1.0,30.7,160.0,258.29462,0
