time,TSI
1941-09-15,1361.6176
1941-10-15,1361.6304
1941-11-15,1361.6536
1941-12-15,1361.6709
1942-01-15,1361.6547
1942-02-15,1361.4701
1942-03-15,1361.5841
1942-04-15,1361.628
1942-05-15,1361.7296
1942-06-15,1361.514
1942-07-15,1361.3557
1942-08-15,1361.3837
1942-09-15,1361.4764
1942-10-15,1361.4357
1942-11-15,1361.3792
1942-12-15,1361.5371
1943-01-15,1361.4908
1943-02-15,1361.2454
1943-03-15,1361.3126
1943-04-15,1361.2516
1943-05-15,1361.4296
1943-06-15,1361.3784
1943-07-15,1361.2623
1943-08-15,1361.393
1943-09-15,1361.351
1943-10-15,1361.259
1943-11-15,1361.2963
1943-12-15,1361.291
1944-01-15,1361.3379
1944-02-15,1361.266
1944-03-15,1361.2369
1944-04-15,1361.2561
1944-05-15,1361.2621
1944-06-15,1361.2762
1944-07-15,1361.2997
1944-08-15,1361.3813
1944-09-15,1361.3663
1944-10-15,1361.4446
1944-11-15,1361.3627
1944-12-15,1361.3215
1945-01-15,1361.5011
1945-02-15,1361.5096
1945-03-15,1361.3097
1945-04-15,1361.4315
1945-05-15,1361.6438
1945-06-15,1361.6227
1945-07-15,1361.6697
1945-08-15,1361.6858
1945-09-15,1361.6416
1945-10-15,1361.6066
1945-11-15,1361.9934
1945-12-15,1361.8046
1946-01-15,1361.4619
1946-02-15,1361.0022
1946-03-15,1361.9548
1946-04-15,1362.0468
1946-05-15,1362.1707
1946-06-15,1362.2638
1946-07-15,1361.467
1946-08-15,1362.0465
1946-09-15,1362.1503
1946-10-15,1362.3269
1946-11-15,1362.2682
1946-12-15,1362.0443
1947-01-15,1362.0458
1947-02-15,1361.7283
1947-03-15,1361.4303
1947-04-15,1361.4637
1947-05-15,1362.0767
1947-06-15,1362.9904
1947-07-15,1362.5444
1947-08-15,1362.2014
1947-09-15,1362.7733
1947-10-15,1362.4921
1947-11-15,1362.4045
1947-12-15,1362.1108
1948-01-15,1362.4238
1948-02-15,1362.2975
1948-03-15,1362.1412
1948-04-15,1361.8246
1948-05-15,1362.2183
1948-06-15,1362.5144
1948-07-15,1362.6608
1948-08-15,1362.454
1948-09-15,1362.4044
1948-10-15,1362.425
1948-11-15,1362.4668
